Variable;X;Y;Type;Name
V1;31/07/2020;4;column;A
V1;31/07/2020;2;column;B
V1;31/07/2020;1;column;C
V1;31/07/2020;-2;column;D
V1;31/07/2020;-8;column;E
V1;31/07/2020;9;column;F
V1;31/07/2020;7;column;G
V1;31/07/2020;-10;column;H
V1;31/07/2020;8;column;I
V1;31/07/2020;8;column;J
V1;31/08/2020;-8;column;A
V1;31/08/2020;-6;column;B
V1;31/08/2020;5;column;C
V1;31/08/2020;-9;column;D
V1;31/08/2020;-6;column;E
V1;31/08/2020;8;column;F
V1;31/08/2020;-10;column;G
V1;31/08/2020;9;column;H
V1;31/08/2020;10;column;I
V1;31/08/2020;10;column;J
V1;30/09/2020;-1;column;A
V1;30/09/2020;6;column;B
V1;30/09/2020;-2;column;C
V1;30/09/2020;-4;column;D
V1;30/09/2020;4;column;E
V1;30/09/2020;-4;column;F
V1;30/09/2020;-7;column;G
V1;30/09/2020;9;column;H
V1;30/09/2020;10;column;I
V1;30/09/2020;1;column;J
V1;31/10/2020;9;column;A
V1;31/10/2020;-9;column;B
V1;31/10/2020;-9;column;C
V1;31/10/2020;4;column;D
V1;31/10/2020;-9;column;E
V1;31/10/2020;5;column;F
V1;31/10/2020;1;column;G
V1;31/10/2020;6;column;H
V1;31/10/2020;3;column;I
V1;31/10/2020;6;column;J
V1;30/11/2020;-3;column;A
V1;30/11/2020;7;column;B
V1;30/11/2020;2;column;C
V1;30/11/2020;4;column;D
V1;30/11/2020;3;column;E
V1;30/11/2020;-10;column;F
V1;30/11/2020;-2;column;G
V1;30/11/2020;8;column;H
V1;30/11/2020;-7;column;I
V1;30/11/2020;10;column;J
V1;31/12/2020;3;column;A
V1;31/12/2020;4;column;B
V1;31/12/2020;-1;column;C
V1;31/12/2020;0;column;D
V1;31/12/2020;7;column;E
V1;31/12/2020;1;column;F
V1;31/12/2020;-8;column;G
V1;31/12/2020;10;column;H
V1;31/12/2020;9;column;I
V1;31/12/2020;-4;column;J
V1;31/01/2021;-8;column;A
V1;31/01/2021;5;column;B
V1;31/01/2021;4;column;C
V1;31/01/2021;-8;column;D
V1;31/01/2021;6;column;E
V1;31/01/2021;10;column;F
V1;31/01/2021;-8;column;G
V1;31/01/2021;2;column;H
V1;31/01/2021;4;column;I
V1;31/01/2021;-9;column;J
V1;28/02/2021;-9;column;A
V1;28/02/2021;10;column;B
V1;28/02/2021;10;column;C
V1;28/02/2021;1;column;D
V1;28/02/2021;-9;column;E
V1;28/02/2021;-5;column;F
V1;28/02/2021;7;column;G
V1;28/02/2021;-5;column;H
V1;28/02/2021;-2;column;I
V1;28/02/2021;3;column;J
V1;31/03/2021;-9;column;A
V1;31/03/2021;0;column;B
V1;31/03/2021;3;column;C
V1;31/03/2021;0;column;D
V1;31/03/2021;1;column;E
V1;31/03/2021;10;column;F
V1;31/03/2021;6;column;G
V1;31/03/2021;-1;column;H
V1;31/03/2021;-10;column;I
V1;31/03/2021;-1;column;J
V2;30/11/2019;-1;column;A
V2;30/11/2019;4;column;B
V2;30/11/2019;-5;column;C
V2;30/11/2019;-8;column;D
V2;30/11/2019;-2;column;E
V2;30/11/2019;5;column;G
V2;30/11/2019;-10;column;H
V2;30/11/2019;1;column;I
V2;31/12/2019;0;column;A
V2;31/12/2019;8;column;B
V2;31/12/2019;3;column;C
V2;31/12/2019;10;column;D
V2;31/12/2019;-6;column;E
V2;31/12/2019;10;column;G
V2;31/12/2019;-6;column;H
V2;31/12/2019;-9;column;I
V2;31/12/2019;-3;column;J
V2;31/01/2020;-4;column;A
V2;31/01/2020;-4;column;B
V2;31/01/2020;5;column;C
V2;31/01/2020;-4;column;D
V2;31/01/2020;4;column;E
V2;31/01/2020;8;column;G
V2;31/01/2020;0;column;H
V2;31/01/2020;2;column;I
V2;31/01/2020;-2;column;J
V2;29/02/2020;-7;column;A
V2;29/02/2020;-2;column;B
V2;29/02/2020;3;column;C
V2;29/02/2020;-4;column;D
V2;29/02/2020;6;column;E
V2;29/02/2020;8;column;G
V2;29/02/2020;-7;column;H
V2;29/02/2020;4;column;I
V2;29/02/2020;7;column;J
V2;31/03/2020;9;column;A
V2;31/03/2020;-8;column;B
V2;31/03/2020;1;column;C
V2;31/03/2020;-10;column;D
V2;31/03/2020;-2;column;E
V2;31/03/2020;3;column;G
V2;31/03/2020;-9;column;H
V2;31/03/2020;3;column;I
V2;31/03/2020;-8;column;J
V2;30/04/2020;-2;column;A
V2;30/04/2020;6;column;B
V2;30/04/2020;5;column;C
V2;30/04/2020;4;column;D
V2;30/04/2020;-5;column;E
V2;30/04/2020;2;column;G
V2;30/04/2020;2;column;H
V2;30/04/2020;-5;column;I
V2;30/04/2020;0;column;J
V2;31/05/2020;-2;column;A
V2;31/05/2020;1;column;B
V2;31/05/2020;1;column;C
V2;31/05/2020;6;column;D
V2;31/05/2020;-7;column;E
V2;31/05/2020;-6;column;G
V2;31/05/2020;6;column;H
V2;31/05/2020;10;column;I
V2;31/05/2020;2;column;J
V2;30/06/2020;2;column;A
V2;30/06/2020;5;column;B
V2;30/06/2020;10;column;C
V2;30/06/2020;-1;column;D
V2;30/06/2020;-3;column;E
V2;30/06/2020;0;column;G
V2;30/06/2020;-9;column;H
V2;30/06/2020;-6;column;I
V2;30/06/2020;-8;column;J
V2;31/07/2020;4;column;A
V2;31/07/2020;2;column;B
V2;31/07/2020;-5;column;C
V2;31/07/2020;8;column;D
V2;31/07/2020;-5;column;E
V2;31/07/2020;8;column;G
V2;31/07/2020;-3;column;H
V2;31/07/2020;-8;column;I
V2;31/07/2020;6;column;J
V2;31/08/2020;-10;column;A
V2;31/08/2020;-10;column;B
V2;31/08/2020;-3;column;C
V2;31/08/2020;-1;column;D
V2;31/08/2020;6;column;E
V2;31/08/2020;2;column;G
V2;31/08/2020;10;column;H
V2;31/08/2020;7;column;I
V2;31/08/2020;2;column;J
V2;30/09/2020;-1;column;A
V2;30/09/2020;-3;column;B
V2;30/09/2020;-6;column;C
V2;30/09/2020;-4;column;D
V2;30/09/2020;3;column;E
V2;30/09/2020;-8;column;G
V2;30/09/2020;9;column;H
V2;30/09/2020;-4;column;I
V2;30/09/2020;10;column;J
V2;31/10/2020;-5;column;A
V2;31/10/2020;7;column;B
V2;31/10/2020;-3;column;C
V2;31/10/2020;-7;column;D
V2;31/10/2020;8;column;E
V2;31/10/2020;-6;column;G
V2;31/10/2020;-3;column;H
V2;31/10/2020;-9;column;I
V2;31/10/2020;3;column;J
V2;30/11/2020;-9;column;A
V2;30/11/2020;-4;column;B
V2;30/11/2020;2;column;C
V2;30/11/2020;9;column;D
V2;30/11/2020;-5;column;E
V2;30/11/2020;7;column;G
V2;30/11/2020;-5;column;H
V2;30/11/2020;4;column;I
V2;30/11/2020;-1;column;J
V2;31/12/2020;-1;column;A
V2;31/12/2020;3;column;B
V2;31/12/2020;7;column;C
V2;31/12/2020;5;column;D
V2;31/12/2020;5;column;E
V2;31/12/2020;4;column;G
V2;31/12/2020;-6;column;H
V2;31/12/2020;9;column;I
V2;31/12/2020;-1;column;J
V2;31/01/2021;1;column;A
V2;31/01/2021;-6;column;B
V2;31/01/2021;6;column;C
V2;31/01/2021;5;column;D
V2;31/01/2021;5;column;E
V2;31/01/2021;5;column;G
V2;31/01/2021;4;column;H
V2;31/01/2021;5;column;I
V2;31/01/2021;5;column;J
V2;28/02/2021;0;column;A
V2;28/02/2021;-10;column;B
V2;28/02/2021;10;column;C
V2;28/02/2021;-3;column;D
V2;28/02/2021;7;column;E
V2;28/02/2021;-4;column;G
V2;28/02/2021;-7;column;H
V2;28/02/2021;-2;column;I
V2;28/02/2021;-3;column;J
V2;31/03/2021;0;column;A
V2;31/03/2021;9;column;B
V2;31/03/2021;5;column;C
V2;31/03/2021;5;column;D
V2;31/03/2021;-8;column;E
V2;31/03/2021;4;column;G
V2;31/03/2021;-1;column;H
V2;31/03/2021;0;column;I
V2;31/03/2021;-7;column;J
