Variable;X;Y;Type;Name;color;color_2
V1;31/10/2020;6;column;H;rgb(255, 255, 255);#77FF00
V1;31/10/2020;3;column;I;rgb(255, 255, 255);#0077FF
V1;31/10/2020;6;column;J;rgb(255, 255, 255);#00FF77
V1;30/11/2020;3;column;A;rgb(255, 255, 255);#FF0000
V1;30/11/2020;7;column;B;rgb(255, 255, 255);#00FF00
V1;30/11/2020;2;column;C;rgb(255, 255, 255);#0000FF
V1;30/11/2020;4;column;D;rgb(255, 255, 255);#FFFF00
V1;30/11/2020;3;column;E;rgb(255, 240, 240);#FF00FF
V1;30/11/2020;10;column;F;rgb(255, 255, 255);#00FFFF
V1;30/11/2020;2;column;G;rgb(255, 255, 255);#FF7700
V1;30/11/2020;8;column;H;rgb(255, 255, 255);#77FF00
V1;30/11/2020;7;column;I;rgb(255, 255, 255);#0077FF
V1;30/11/2020;10;column;J;rgb(255, 255, 255);#00FF77
V1;31/12/2020;3;column;A;rgb(255, 255, 255);#FF0000
V1;31/12/2020;4;column;B;rgb(255, 255, 255);#00FF00
V1;31/12/2020;1;column;C;rgb(255, 255, 255);#0000FF
V1;31/12/2020;0;column;D;rgb(255, 255, 255);#FFFF00
V1;31/12/2020;7;column;E;rgb(255, 240, 240);#FF00FF
V1;31/12/2020;1;column;F;rgb(255, 255, 255);#00FFFF
V1;31/12/2020;8;column;G;rgb(255, 255, 255);#FF7700
V1;31/12/2020;10;column;H;rgb(255, 255, 255);#77FF00
V1;31/12/2020;9;column;I;rgb(255, 255, 255);#0077FF
V1;31/12/2020;4;column;J;rgb(255, 255, 255);#00FF77
V1;31/01/2021;8;column;A;rgb(255, 255, 255);#FF0000
V1;31/01/2021;5;column;B;rgb(255, 255, 255);#00FF00
V1;31/01/2021;4;column;C;rgb(255, 255, 255);#0000FF
V1;31/01/2021;8;column;D;rgb(255, 255, 255);#FFFF00
V1;31/01/2021;6;column;E;rgb(255, 240, 240);#FF00FF
V1;31/01/2021;10;column;F;rgb(255, 255, 255);#00FFFF
V1;31/01/2021;8;column;G;rgb(255, 255, 255);#FF7700
V1;31/01/2021;2;column;H;rgb(255, 255, 255);#77FF00
V1;31/01/2021;4;column;I;rgb(255, 255, 255);#0077FF
V1;31/01/2021;9;column;J;rgb(255, 255, 255);#00FF77
V1;28/02/2021;9;column;A;rgb(255, 255, 255);#FF0000
V1;28/02/2021;10;column;B;rgb(255, 255, 255);#00FF00
V1;28/02/2021;10;column;C;rgb(255, 255, 255);#0000FF
V1;28/02/2021;1;column;D;rgb(255, 255, 255);#FFFF00
V1;28/02/2021;9;column;E;rgb(255, 240, 240);#FF00FF
V1;28/02/2021;5;column;F;rgb(255, 255, 255);#00FFFF
V1;28/02/2021;7;column;G;rgb(255, 255, 255);#FF7700
V1;28/02/2021;5;column;H;rgb(255, 255, 255);#77FF00
V1;28/02/2021;2;column;I;rgb(255, 255, 255);#0077FF
V1;28/02/2021;3;column;J;rgb(255, 255, 255);#00FF77
V1;31/03/2021;9;column;A;rgb(255, 255, 255);#FF0000
V1;31/03/2021;0;column;B;rgb(255, 255, 255);#00FF00
V1;31/03/2021;3;column;C;rgb(255, 255, 255);#0000FF
V1;31/03/2021;0;column;D;rgb(255, 255, 255);#FFFF00
V1;31/03/2021;1;column;E;rgb(255, 240, 240);#FF00FF
V1;31/03/2021;10;column;F;rgb(255, 255, 255);#00FFFF
V1;31/03/2021;6;column;G;rgb(255, 255, 255);#FF7700
V1;31/03/2021;1;column;H;rgb(255, 255, 255);#77FF00
V1;31/03/2021;10;column;I;rgb(255, 255, 255);#0077FF
V1;31/03/2021;1;column;J;rgb(255, 255, 255);#00FF77
V2;30/11/2019;1;column;A;rgb(255, 255, 255);#FF0000
V2;30/11/2019;4;column;B;rgb(255, 255, 255);#00FF00
V2;30/11/2019;5;column;C;rgb(255, 255, 255);#0000FF
V2;30/11/2019;8;column;D;rgb(255, 255, 255);#FFFF00
V2;30/11/2019;2;column;E;rgb(255, 240, 240);#FF00FF
V2;30/11/2019;8;column;F;rgb(255, 255, 255);#00FFFF
V2;30/11/2019;5;column;G;rgb(255, 255, 255);#FF7700
V2;30/11/2019;10;column;H;rgb(255, 255, 255);#77FF00
V2;30/11/2019;1;column;I;rgb(255, 255, 255);#0077FF
V2;31/12/2019;0;column;A;rgb(255, 255, 255);#00FF77
V2;31/12/2019;8;column;B;rgb(255, 255, 255);#FF0000
V2;31/12/2019;3;column;C;rgb(255, 255, 255);#00FF00
V2;31/12/2019;10;column;D;rgb(255, 255, 255);#0000FF
V2;31/12/2019;6;column;E;rgb(255, 240, 240);#FFFF00
V2;31/12/2019;6;column;F;rgb(255, 255, 255);#FF00FF
V2;31/12/2019;10;column;G;rgb(255, 255, 255);#00FFFF
V2;31/12/2019;6;column;H;rgb(255, 255, 255);#FF7700
V2;31/12/2019;9;column;I;rgb(255, 255, 255);#77FF00
V2;31/12/2019;3;column;J;rgb(255, 255, 255);#0077FF
V2;31/01/2020;4;column;A;rgb(255, 255, 255);#00FF77
V2;31/01/2020;4;column;B;rgb(255, 255, 255);#FF0000
V2;31/01/2020;5;column;C;rgb(255, 255, 255);#00FF00
V2;31/01/2020;4;column;D;rgb(255, 255, 255);#0000FF
V2;31/01/2020;4;column;E;rgb(255, 240, 240);#FFFF00
V2;31/01/2020;9;column;F;rgb(255, 255, 255);#FF00FF
V2;31/01/2020;8;column;G;rgb(255, 255, 255);#00FFFF
V2;31/01/2020;0;column;H;rgb(255, 255, 255);#FF7700
V2;31/01/2020;2;column;I;rgb(255, 255, 255);#77FF00
V2;31/01/2020;2;column;J;rgb(255, 255, 255);#0077FF
V2;29/02/2020;7;column;A;rgb(255, 255, 255);#00FF77
V2;29/02/2020;2;column;B;rgb(255, 255, 255);#FF0000
V2;29/02/2020;3;column;C;rgb(255, 255, 255);#00FF00
V2;29/02/2020;4;column;D;rgb(255, 255, 255);#0000FF
V2;29/02/2020;6;column;E;rgb(255, 240, 240);#FFFF00
V2;29/02/2020;4;column;F;rgb(255, 255, 255);#FF00FF
V2;29/02/2020;8;column;G;rgb(255, 255, 255);#00FFFF
V2;29/02/2020;7;column;H;rgb(255, 255, 255);#FF7700
V2;29/02/2020;4;column;I;rgb(255, 255, 255);#77FF00
V2;29/02/2020;7;column;J;rgb(255, 255, 255);#0077FF
V2;31/03/2020;9;column;A;rgb(255, 255, 255);#00FF77
V2;31/03/2020;8;column;B;rgb(255, 255, 255);#FF0000
V2;31/03/2020;1;column;C;rgb(255, 255, 255);#00FF00
V2;31/03/2020;10;column;D;rgb(255, 255, 255);#0000FF
V2;31/03/2020;2;column;E;rgb(255, 240, 240);#FFFF00
V2;31/03/2020;7;column;F;rgb(255, 255, 255);#FF00FF
V2;31/03/2020;3;column;G;rgb(255, 255, 255);#00FFFF
V2;31/03/2020;9;column;H;rgb(255, 255, 255);#FF7700
V2;31/03/2020;3;column;I;rgb(255, 255, 255);#77FF00
V2;31/03/2020;8;column;J;rgb(255, 255, 255);#0077FF
V2;30/04/2020;2;column;A;rgb(255, 255, 255);#00FF77
V2;30/04/2020;6;column;B;rgb(255, 255, 255);#FF0000
V2;30/04/2020;5;column;C;rgb(255, 255, 255);#00FF00
V2;30/04/2020;4;column;D;rgb(255, 255, 255);#0000FF
V2;30/04/2020;5;column;E;rgb(255, 240, 240);#FFFF00
V2;30/04/2020;8;column;F;rgb(255, 255, 255);#FF00FF
V2;30/04/2020;2;column;G;rgb(255, 255, 255);#00FFFF
V2;30/04/2020;2;column;H;rgb(255, 255, 255);#FF7700
V2;30/04/2020;5;column;I;rgb(255, 255, 255);#77FF00
V2;30/04/2020;0;column;J;rgb(255, 255, 255);#0077FF
V2;31/05/2020;2;column;A;rgb(255, 255, 255);#00FF77
V2;31/05/2020;1;column;B;rgb(255, 255, 255);#FF0000
V2;31/05/2020;1;column;C;rgb(255, 255, 255);#00FF00
V2;31/05/2020;6;column;D;rgb(255, 255, 255);#0000FF
V2;31/05/2020;7;column;E;rgb(255, 240, 240);#FFFF00
V2;31/05/2020;4;column;F;rgb(255, 255, 255);#FF00FF
V2;31/05/2020;6;column;G;rgb(255, 255, 255);#00FFFF
V2;31/05/2020;6;column;H;rgb(255, 255, 255);#FF7700
V2;31/05/2020;10;column;I;rgb(255, 255, 255);#77FF00
V2;31/05/2020;2;column;J;rgb(255, 255, 255);#0077FF
V2;30/06/2020;2;column;A;rgb(255, 255, 255);#00FF77
V2;30/06/2020;5;column;B;rgb(255, 255, 255);#FF0000
V2;30/06/2020;10;column;C;rgb(255, 255, 255);#00FF00
V2;30/06/2020;1;column;D;rgb(255, 255, 255);#0000FF
V2;30/06/2020;3;column;E;rgb(255, 240, 240);#FFFF00
V2;30/06/2020;1;column;F;rgb(255, 255, 255);#FF00FF
V2;30/06/2020;0;column;G;rgb(255, 255, 255);#00FFFF
V2;30/06/2020;9;column;H;rgb(255, 255, 255);#FF7700
V2;30/06/2020;6;column;I;rgb(255, 255, 255);#77FF00
V2;30/06/2020;8;column;J;rgb(255, 255, 255);#0077FF
V2;31/07/2020;4;column;A;rgb(255, 255, 255);#00FF77
V2;31/07/2020;2;column;B;rgb(255, 255, 255);#FF0000
V2;31/07/2020;5;column;C;rgb(255, 255, 255);#00FF00
V2;31/07/2020;8;column;D;rgb(255, 255, 255);#0000FF
V2;31/07/2020;5;column;E;rgb(255, 240, 240);#FFFF00
V2;31/07/2020;5;column;F;rgb(255, 255, 255);#FF00FF
V2;31/07/2020;8;column;G;rgb(255, 255, 255);#00FFFF
V2;31/07/2020;3;column;H;rgb(255, 255, 255);#FF7700
V2;31/07/2020;8;column;I;rgb(255, 255, 255);#77FF00
V2;31/07/2020;6;column;J;rgb(255, 255, 255);#0077FF
V2;31/08/2020;10;column;A;rgb(255, 255, 255);#00FF77
V2;31/08/2020;10;column;B;rgb(255, 255, 255);#FF0000
V2;31/08/2020;3;column;C;rgb(255, 255, 255);#00FF00
V2;31/08/2020;1;column;D;rgb(255, 255, 255);#0000FF
V2;31/08/2020;6;column;E;rgb(255, 240, 240);#FFFF00
V2;31/08/2020;8;column;F;rgb(255, 255, 255);#FF00FF
V2;31/08/2020;2;column;G;rgb(255, 255, 255);#00FFFF
V2;31/08/2020;10;column;H;rgb(255, 255, 255);#FF7700
V2;31/08/2020;7;column;I;rgb(255, 255, 255);#77FF00
V2;31/08/2020;2;column;J;rgb(255, 255, 255);#0077FF
V2;30/09/2020;1;column;A;rgb(255, 255, 255);#00FF77
V2;30/09/2020;3;column;B;rgb(255, 255, 255);#FF0000
V2;30/09/2020;6;column;C;rgb(255, 255, 255);#00FF00
V2;30/09/2020;4;column;D;rgb(255, 255, 255);#0000FF
V2;30/09/2020;3;column;E;rgb(255, 240, 240);#FFFF00
V2;30/09/2020;9;column;F;rgb(255, 255, 255);#FF00FF
V2;30/09/2020;8;column;G;rgb(255, 255, 255);#00FFFF
V2;30/09/2020;9;column;H;rgb(255, 255, 255);#FF7700
V2;30/09/2020;4;column;I;rgb(255, 255, 255);#77FF00
V2;30/09/2020;10;column;J;rgb(255, 255, 255);#0077FF
V2;31/10/2020;5;column;A;rgb(255, 255, 255);#00FF77
V2;31/10/2020;7;column;B;rgb(255, 255, 255);#FF0000
V2;31/10/2020;3;column;C;rgb(255, 255, 255);#00FF00
V2;31/10/2020;7;column;D;rgb(255, 255, 255);#0000FF
V2;31/10/2020;8;column;E;rgb(255, 240, 240);#FFFF00
V2;31/10/2020;7;column;F;rgb(255, 255, 255);#FF00FF
V2;31/10/2020;6;column;G;rgb(255, 255, 255);#00FFFF
V2;31/10/2020;3;column;H;rgb(255, 255, 255);#FF7700
V2;31/10/2020;9;column;I;rgb(255, 255, 255);#77FF00
V2;31/10/2020;3;column;J;rgb(255, 255, 255);#0077FF
V2;30/11/2020;9;column;A;rgb(255, 255, 255);#00FF77
V2;30/11/2020;4;column;B;rgb(255, 255, 255);#FF0000
V2;30/11/2020;2;column;C;rgb(255, 255, 255);#00FF00
V2;30/11/2020;9;column;D;rgb(255, 255, 255);#0000FF
V2;30/11/2020;5;column;E;rgb(255, 240, 240);#FFFF00
V2;30/11/2020;8;column;F;rgb(255, 255, 255);#FF00FF
V2;30/11/2020;7;column;G;rgb(255, 255, 255);#00FFFF
V2;30/11/2020;5;column;H;rgb(255, 255, 255);#FF7700
V2;30/11/2020;4;column;I;rgb(255, 255, 255);#77FF00
V2;30/11/2020;1;column;J;rgb(255, 255, 255);#0077FF
V2;31/12/2020;1;column;A;rgb(255, 255, 255);#00FF77
V2;31/12/2020;3;column;B;rgb(255, 255, 255);#FF0000
V2;31/12/2020;7;column;C;rgb(255, 255, 255);#00FF00
V2;31/12/2020;5;column;D;rgb(255, 255, 255);#0000FF
V2;31/12/2020;5;column;E;rgb(255, 240, 240);#FFFF00
V2;31/12/2020;1;column;F;rgb(255, 255, 255);#FF00FF
V2;31/12/2020;4;column;G;rgb(255, 255, 255);#00FFFF
V2;31/12/2020;6;column;H;rgb(255, 255, 255);#FF7700
V2;31/12/2020;9;column;I;rgb(255, 255, 255);#77FF00
V2;31/12/2020;1;column;J;rgb(255, 255, 255);#0077FF
V2;31/01/2021;1;column;A;rgb(255, 255, 255);#00FF77
V2;31/01/2021;6;column;B;rgb(255, 255, 255);#FF0000
V2;31/01/2021;6;column;C;rgb(255, 255, 255);#00FF00
V2;31/01/2021;5;column;D;rgb(255, 255, 255);#0000FF
V2;31/01/2021;5;column;E;rgb(255, 240, 240);#FFFF00
V2;31/01/2021;3;column;F;rgb(255, 255, 255);#FF00FF
V2;31/01/2021;5;column;G;rgb(255, 255, 255);#00FFFF
V2;31/01/2021;4;column;H;rgb(255, 255, 255);#FF7700
V2;31/01/2021;5;column;I;rgb(255, 255, 255);#77FF00
V2;31/01/2021;5;column;J;rgb(255, 255, 255);#0077FF
V2;28/02/2021;0;column;A;rgb(255, 255, 255);#00FF77
V2;28/02/2021;10;column;B;rgb(255, 255, 255);#FF0000
V2;28/02/2021;10;column;C;rgb(255, 255, 255);#00FF00
V2;28/02/2021;3;column;D;rgb(255, 255, 255);#0000FF
V2;28/02/2021;7;column;E;rgb(255, 240, 240);#FFFF00
V2;28/02/2021;1;column;F;rgb(255, 255, 255);#FF00FF
V2;28/02/2021;4;column;G;rgb(255, 255, 255);#00FFFF
V2;28/02/2021;7;column;H;rgb(255, 255, 255);#FF7700
V2;28/02/2021;2;column;I;rgb(255, 255, 255);#77FF00
V2;28/02/2021;3;column;J;rgb(255, 255, 255);#0077FF
V2;31/03/2021;0;column;A;rgb(255, 255, 255);#00FF77
V2;31/03/2021;9;column;B;rgb(255, 255, 255);#FF0000
V2;31/03/2021;5;column;C;rgb(255, 255, 255);#00FF00
V2;31/03/2021;5;column;D;rgb(255, 255, 255);#0000FF
V2;31/03/2021;8;column;E;rgb(255, 240, 240);#FFFF00
V2;31/03/2021;4;column;F;rgb(255, 255, 255);#FF00FF
V2;31/03/2021;4;column;G;rgb(255, 255, 255);#00FFFF
V2;31/03/2021;1;column;H;rgb(255, 255, 255);#FF7700
V2;31/03/2021;0;column;I;rgb(255, 255, 255);#77FF00
V2;31/03/2021;7;column;J;rgb(255, 255, 255);#0077FF
